title,description,start_date,start_time,end_date,end_time,last_updated,status,tracking_number,tracking_link,last_tracked,service,tp_id,state_abbrievation
LBB903 CY - UPS,"Tracking Number: 1Z2F48180310736378

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1Z2F48180310736378&lang=en",2024-09-09T13:45:00Z,2024-09-09T13:45:00Z,2024-09-09T17:45:00Z,2024-09-09T17:45:00Z,2024-10-10T07:38:52.975Z,cancelled,1Z2F48180310736378,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1Z2F48180310736378&lang=en,2024-10-10T07:38:52.975Z,UPS,LBB903,
VA904 (Test #1 W) - UPS,"Tracking Number: 1ZC71G770306281034

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770306281034&lang=en",2024-09-10T14:45:00Z,2024-09-10T14:45:00Z,2024-09-10T18:45:00Z,2024-09-10T18:45:00Z,2024-10-10T19:24:42.802Z,cancelled,1ZC71G770306281034,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770306281034&lang=en,2024-10-10T19:24:42.802Z,UPS,VA904,
VA905 (Test #2 W) - FedEx,"Tracking Number: 778405891040

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778405891040&lang=en",2024-09-11'T'00:00:00.000'Z',2024-09-11,2024-09-12'T'00:00:00.000'Z',2024-09-12,2024-10-11T21:31:10.736Z,cancelled,7.78406E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778405891040&lang=en,2024-10-11T21:31:10.736Z,FedEx,VA905,
TX1008-CARL - FedEx,"Tracking Number: 779105411017

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105411017&lang=en",2024-10-11'T'00:00:00.000'Z',2024-10-11,2024-10-12'T'00:00:00.000'Z',2024-10-12,2024-10-11T23:29:08.002Z,cancelled,7.79105E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105411017&lang=en,2024-10-11T23:29:08.002Z,FedEx,TX1008-CARL,
,,,,,,,,,,,,,
VA905 (Test #3 B2L) - UPS,"Tracking Number: 1ZC71G770324999093

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770324999093&lang=en",2024-09-11T14:45:00Z,2024-09-11T14:45:00Z,2024-09-11T18:45:00Z,2024-09-11T18:45:00Z,2024-10-13T01:17:16.362Z,cancelled,1ZC71G770324999093,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770324999093&lang=en,2024-10-13T01:17:16.362Z,UPS,VA905,
TP#TEST829 UPS,"Tracking Number: 1ZC71G770314385649

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770314385649&lang=en",2024-09-11T14:45:00Z,2024-09-11T14:45:00Z,2024-09-11T18:45:00Z,2024-09-11T18:45:00Z,2024-10-13T01:21:17.722Z,cancelled,1ZC71G770314385649,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770314385649&lang=en,2024-10-13T01:21:17.722Z,UPS,TP,
FL1008-Z - FedEx,"Tracking Number: 779105443251

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105443251&lang=en",2024-10-12'T'00:00:00.000'Z',2024-10-12,2024-10-13'T'00:00:00.000'Z',2024-10-13,2024-10-13T01:29:07.976Z,cancelled,7.79105E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105443251&lang=en,2024-10-13T01:29:07.976Z,FedEx,FL1008-Z,
LBB1007 - UPS,"Tracking Number: 1ZGW18070321100020

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070321100020&lang=en",2024-10-11T17:15:00Z,2024-10-11T17:15:00Z,2024-10-11T19:15:00Z,2024-10-11T19:15:00Z,2024-10-15T04:29:08.333Z,cancelled,1ZGW18070321100020,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070321100020&lang=en,2024-10-15T04:29:08.333Z,UPS,LBB1007,
GA1008-LOTO - FedEx,"Tracking Number: 779105375107

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105375107&lang=en",2024-10-14'T'00:00:00.000'Z',2024-10-14,2024-10-15'T'00:00:00.000'Z',2024-10-15,2024-10-16T03:29:07.853Z,cancelled,7.79105E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779105375107&lang=en,2024-10-16T03:29:07.853Z,FedEx,GA1008-LOTO,
TX911 (Lotto) - UPS,"Tracking Number: 1ZGW61220312608489

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220312608489&lang=en",2024-09-16T13:30:00Z,2024-09-16T13:30:00Z,2024-09-16T17:30:00Z,2024-09-16T17:30:00Z,2024-10-16T21:41:25.746Z,cancelled,1ZGW61220312608489,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220312608489&lang=en,2024-10-16T21:41:25.746Z,UPS,TX911,
TX1011-PEPE - UPS,"Tracking Number: 1ZC71G770327249147

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770327249147&lang=en",2024-10-16T16:30:00Z,2024-10-16T16:30:00Z,2024-10-16T18:30:00Z,2024-10-16T18:30:00Z,2024-10-17T06:29:08.031Z,cancelled,1ZC71G770327249147,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770327249147&lang=en,2024-10-17T06:29:08.031Z,UPS,TX1011-PEPE,
IL912 (Lotto) - UPS,"Tracking Number: 1ZC71G770312951254

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770312951254&lang=en",2024-09-17'T'00:00:00.000'Z',2024-09-17,2024-09-18'T'00:00:00.000'Z',2024-09-18,2024-10-17T19:57:03.885Z,cancelled,1ZC71G770312951254,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770312951254&lang=en,2024-10-17T19:57:03.885Z,UPS,IL912,
DC911 (Cholo #1 C) - UPS,"Tracking Number: 1ZGW61220302931077

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220302931077&lang=en",2024-09-17T16:15:00Z,2024-09-17T16:15:00Z,2024-09-17T19:15:00Z,2024-09-17T19:15:00Z,2024-10-17T20:24:04.379Z,cancelled,1ZGW61220302931077,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220302931077&lang=en,2024-10-17T20:24:04.379Z,UPS,DC911,
ALHB910 (Seven) - UPS,"Tracking Number: 1ZGW18070333515417

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070333515417&lang=en",2024-09-16T13:00:00Z,2024-09-16T13:00:00Z,2024-09-16T15:00:00Z,2024-09-16T15:00:00Z,2024-10-17T20:28:54.502Z,cancelled,1ZGW18070333515417,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070333515417&lang=en,2024-10-17T20:28:54.502Z,UPS,ALHB910,
DC911 (Cholo #2 A) 778528659972 - FedEx,"Tracking Number: 778528659972

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778528659972&lang=en",2024-09-17'T'00:00:00.000'Z',2024-09-17,2024-09-18'T'00:00:00.000'Z',2024-09-18,2024-10-18T04:01:13.700Z,cancelled,7.78529E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778528659972&lang=en,2024-10-18T04:01:13.700Z,FedEx,DC911,
