title,description,start_date,start_time,end_date,end_time,last_updated,status,tracking_number,tracking_link,last_tracked,service,tp_id,state_abbrievation
IL1023-SW - UPS,"Tracking Number: 1ZGW61220317766399

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220317766399&lang=en",10/26/2024 2:00 PM GMT,10/26/2024 2:00 PM GMT,10/26/2024 6:00 PM GMT,10/26/2024 6:00 PM GMT,10/26/2024 1:29 AM GMT,cancelled,1ZGW61220317766399,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220317766399&lang=en,10/26/2024 11:26 PM GMT,UPS,IL1023-SW,
TN1026-BO - FedEx,"Tracking Number: 779538436399

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779538436399&lang=en",11/01/2024 12:00 AM GMT,11/01/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,10/27/2024 8:29 AM GMT,cancelled,7.79538E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779538436399&lang=en,10/30/2024 9:06 AM GMT,FedEx,TN1026-BO,
ALHB1025-CMTK - UPS,"Tracking Number: 1ZGW18070307078663

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070307078663&lang=en",11/01/2024 11:45 AM GMT,11/01/2024 11:45 AM GMT,11/01/2024 1:45 PM GMT,11/01/2024 1:45 PM GMT,10/29/2024 3:29 AM GMT,cancelled,1ZGW18070307078663,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070307078663&lang=en,10/30/2024 9:06 AM GMT,UPS,HB1025-CMTK,
DC1028B-Test - UPS,"Tracking Number: 1ZGW61220314984604

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314984604&lang=en",11/01/2024 2:15 PM GMT,11/01/2024 2:15 PM GMT,11/01/2024 4:15 PM GMT,11/01/2024 4:15 PM GMT,10/29/2024 3:29 AM GMT,cancelled,1ZGW61220314984604,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314984604&lang=en,10/30/2024 9:06 AM GMT,UPS,DC1028B-T,
DC1028A-Test - UPS,"Tracking Number: 1ZGW61220338918337

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220338918337&lang=en",11/01/2024 2:15 PM GMT,11/01/2024 2:15 PM GMT,11/01/2024 4:15 PM GMT,11/01/2024 4:15 PM GMT,10/29/2024 3:29 AM GMT,cancelled,1ZGW61220338918337,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220338918337&lang=en,10/30/2024 9:06 AM GMT,UPS,DC1028A-T,
VA1028A-Bo - FedEx,"Tracking Number: 779579633877

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779579633877&lang=en",11/01/2024 12:00 AM GMT,11/01/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,10/29/2024 3:29 AM GMT,cancelled,7.7958E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779579633877&lang=en,10/30/2024 9:06 AM GMT,FedEx,VA1028A-B,
VA1028B-Bo - FedEx,"Tracking Number: 779579633888

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779579633888&lang=en",11/01/2024 12:00 AM GMT,11/01/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,11/02/2024 12:00 AM GMT,10/29/2024 5:29 PM GMT,cancelled,7.7958E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779579633888&lang=en,10/30/2024 9:06 AM GMT,FedEx,VA1028B-B,
FL1029-Z - UPS,"Tracking Number: 1ZGW61220308215214

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220308215214&lang=en",11/04/2024 1:15 PM GMT,11/04/2024 1:15 PM GMT,11/04/2024 4:15 PM GMT,11/04/2024 4:15 PM GMT,10/30/2024 5:29 AM GMT,cancelled,1ZGW61220308215214,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220308215214&lang=en,10/30/2024 9:06 AM GMT,UPS,FL1029-Z,
GA1125-LOTO - UPS,"Tracking Number: 1ZC71G770321767213

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770321767213&lang=en",2024-12-03,11:45:00Z,2024-12-03,14:45:00Z,2024-11-27 2:29,confirmed,1ZC71G770321767213,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770321767213&lang=en,,UPS,GA1125-LOTO,GA
MD1127C-SEVN - UPS,"Tracking Number: 1ZGW61220318221546

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220318221546&lang=en",2024-12-05,12:00:00Z,2024-12-05,16:00:00Z,2024-11-28 4:29,confirmed,1ZGW61220318221546,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220318221546&lang=en,,UPS,MD1127C-SEVN,MD
MD1127D-SEVN - UPS,"Tracking Number: 1ZGW61220320114318

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220320114318&lang=en",2024-12-05,12:00:00Z,2024-12-05,16:00:00Z,2024-11-28 4:29,confirmed,1ZGW61220320114318,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220320114318&lang=en,,UPS,MD1127D-SEVN,MD
MD1129E-SEVN - UPS,"Tracking Number: 1ZC71G770328657221

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770328657221&lang=en",2024-12-06,12:00:00Z,2024-12-06,16:00:00Z,2024-11-30 1:29,confirmed,1ZC71G770328657221,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770328657221&lang=en,,UPS,MD1129E-SEVN,MD
MD1129A-CHO - FedEx,"Tracking Number: 770345079286

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=770345079286&lang=en",2024-12-05,,2024-12-06,,2024-11-30 8:29,confirmed,7.70345E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=770345079286&lang=en,,FedEx,MD1129A-CHO,MD
MD1129B-CHO - FedEx,"Tracking Number: 770345233810

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=770345233810&lang=en",2024-12-05,,2024-12-06,,2024-11-30 8:29,confirmed,7.70345E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=770345233810&lang=en,,FedEx,MD1129B-CHO,MD
